AGE,CIRCDIST,CITIZEN,CRIMHIST,CRIMPTS,judge,NEWEDUC,NEWRACE,MONSEX,OFFICE,PRISTOT,PROBATN,SENTDATE,SENTMON,SENTYR
70,51,1,0,0,Charles N. Clevert Jr.,6,1,0,1,24,0,,10,2007
28,51,1,1,1,Charles N. Clevert Jr.,6,2,0,2,135,0,11/15/2001,11,2001
31,51,1,1,6,Charles N. Clevert Jr.,3,2,0,2,48,0,5/16/2002,5,2002
29,51,1,1,2,Charles N. Clevert Jr.,1,1,0,2,21,0,10/26/2001,10,2001
39,51,2,1,0,Charles N. Clevert Jr.,3,2,0,2,120,0,10/9/2001,10,2001
19,51,1,1,0,Charles N. Clevert Jr.,3,6,0,2,0,24,10/5/2001,10,2001
42,51,1,1,4,Charles N. Clevert Jr.,5,2,1,2,30,0,5/8/2002,5,2002
23,51,1,1,6,Charles N. Clevert Jr.,1,2,0,2,46,0,10/10/2001,10,2001
31,51,3,1,4,Charles N. Clevert Jr.,3,3,0,2,30,0,10/23/2001,10,2001
46,51,1,0,0,Charles N. Clevert Jr.,3,1,1,2,4,0,1/4/2002,1,2002
53,51,1,0,0,Charles N. Clevert Jr.,5,1,0,2,12,0,11/15/2001,11,2001
25,51,1,1,7,Charles N. Clevert Jr.,1,6,0,2,44,0,10/18/2001,10,2001
24,51,1,1,6,Charles N. Clevert Jr.,3,2,0,2,70,0,11/16/2001,11,2001
37,51,1,1,15,Charles N. Clevert Jr.,5,2,0,2,48,0,1/17/2002,1,2002
43,51,1,0,0,Charles N. Clevert Jr.,5,1,0,2,21,0,4/18/2002,4,2002
28,51,1,1,14,Charles N. Clevert Jr.,3,2,0,2,190,0,3/1/2002,3,2002
21,51,1,1,3,Charles N. Clevert Jr.,3,2,0,2,135,0,1/25/2002,1,2002
48,51,1,1,6,Charles N. Clevert Jr.,5,1,0,2,27,0,7/24/2002,7,2002
34,51,1,1,0,Charles N. Clevert Jr.,3,1,1,2,12,0,4/9/2002,4,2002
32,51,2,1,2,Charles N. Clevert Jr.,5,3,0,2,21,0,9/6/2002,9,2002
34,51,3,0,0,Charles N. Clevert Jr.,1,3,1,2,30,0,2/14/2003,2,2003
